0   32   57  107   10   89   61   97  101   99  449  551  229  289  105
128    0   24  134   73   41   14   57   15  190  262  443  536  528  486
121   92    0  129   20   37   34   59   40   35  602  490  342  360  679
15   28   25    0   68   81   19  136   92   54  344  537  349  215  640
53  119   78   93    0   17    8  146   24  104  434  458  552  195  661
21   18   54   73   28    0   42   26   80   21  604  717  351  107  860
20   17   10   83   52  119    0   36   83   67  547  195  465  168  896
126   72   73  119   74   87   14    0   57   90  803  117  488  660  651
86   57   45   25   70   56   23   76    0   30 1045  584  312  200  483
110   67   51   49   70  135   14  108   32    0  395  108  664  559  338
45   97   33   44   19  150   36  151   70  175    0  124  795  130  195
90  114   70   40   18   24   14  132   66  153 1038    0  797  437  138
42   90   37  122   26   70   42   46   19  116  362  561    0  615  969
81   14   54   28   61  139   27   59   79   32  157  180  201    0  605
64   81   12   96   36   73   65   86  100   46  718  440  844  427    0

0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0

