0   57   20   74   70  352  260 1214  334 1081   10   52  138   81   35
98    0   46  105   15  114  495 1323  108  228   59  116   63  139   93
54   71    0   64   36  256  491  319  341  764   71  106  152   19   82
99   38   23    0   55  518  603  927  276  353   58  111   50  149   51
42   59   42   76    0  225  606  409  374  329   84  100  147  135  124
28  126   14   97   71    0  107  374  213  751   85  129  128  142   42
12   38   62   99   19  278    0  323  242 1144   42  135  123  103   49
86  108   52   57   64  522  513    0  405  509   37   91   45  101  102
31  129   12   14   67  135  469  974    0  680   58   91  129   38   38
108   89   44   67   48  549  427  705   65    0   50   50  141   41  125
109   98   28   43   37  531  257  279  376  627    0  136   53   63   16
50  129   14   87   30  548  309  324  344  256   10    0  121  120   34
105  102   60   37   62  273  379  239  145  465   69  124    0   46   35
26  126   54  103   43  343  546  382   86  599   69   63  150    0   86
81   89   53  105   80  324  323 1022  157  859   83   14   60   84    0

0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
