0   64   29   36   62  364  382  479  598  542   31   65   40   68   75
  103    0   77   91  155  312  483  233  231  697   99   82  149  133   17
  103   77    0   35   82 1090  530  326  106  253   31   84  157  115   72
   38   79   14    0   58  791  141   97  561  288   96   60  161  173  136
   65   25   41   77    0  891 1227  447  563  453   82   14  145   97   33
   22   82   78   24   74    0  238  727  406  914  116  102  118   78  129
  148   26   67  119   96  664    0  267  102  633   98   74   25   78   29
  107   66   52  101   47  713  483    0  185  623   56   23   96  162   75
   24   63   71   45   87  195  607  362    0  745  107   73  136  159  120
  110   81   12  115   33  496  332  167  611    0   78   55   83  137  102
  115   64   26   53   63  243  637  140  628  738    0   39   24   50   45
   79   33   49   63   33  183  717  274  562  611  100    0   23   59   74
   16   36   72  162   29  514  179  245  559  115   31   23    0  148   99
   27   58   40  115  143  520  576  192  272  447   29   36   25    0   20
  131   49   79   61  129  233  584  457  123  120   30   49  144  111    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
