0  190   87   75  119  472  840  331   76  770   26   36  101   81   24
   51    0   47   21   81  760  420  578  184  595   56   40   59  118   66
   15   22    0   24   95  837  277  257  214  202   60   77   48  100   25
   52  151   23    0   29  750  516  502  158  471   26   11  118   47   49
   32  105   51  167    0  724  248  414  194  764   65   10   57  112   30
   27   42  156  117  154    0  267  556   36  123   46   36  139  178   49
   15  146  111  106   23  306    0  388  142  757  100   52   65  138    7
   40   96   95   39   32  727 1125    0  219  330   16   29  115   53   25
    8  113  117  123   24  827  318  553    0  639   26   79  135   74   28
   50   53   44  102   63  997  794  371  138    0   88   68   93   65   34
   48  182   22  110   42  217 1139  200  243  113    0   42   76   55   12
   22   37  122  195   72 1009  244  232  116   91   96    0   94   34   27
    6  211   64  184  128  174  369  363  216  182   56   64    0   79   55
   48  198  158  158  131  121 1105  536  119  599   54   68   27    0   32
    9  132   96   65   18  900  714  667   55  750   65   87   73  173    0
	
	
	0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
