 0  378  164   89  303  111   36   25  104   44   82   68   69  189   94
  233    0  420   68  280  170   63   65   23   53   44  116   30  150  243
  335  972    0  272  116  217   61   53  151   52   54  157   78  127   45
  693  797  295    0  446   56   13   44   84   47   76   68   22  170   38
  255  634  480  194    0  173   63   13   40   58   18   65   35   51   46
  838  771   77  179  552    0   39   70   36   58  115  149   17  101  147
  491  689  154   88  546   89    0   67   24   18  117   68   37   64  178
  810  331  230  303  645  147   63    0   21   39  122   86   62  181   72
  381  363  276  143  223  133   59   33    0   64  132   84   29  191  196
  937  705  416  207  672  149   48   29  151    0  100   52   47   49  169
  483  923  411  303  145  217    8   64   52    8    0   86   15   73  103
 1088  756  368  143  446   48   37   67  144   16   79    0   28  107  167
  793  314  425  185  596   96   24   75  103   41   95  116    0  101   96
  359  656  148  360  679  208   57   32   16   52   84   42   48    0  206
  975  601  328  168  379  176   40   50   19   62   31  127   30  205    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
