0   70   75   49   35  228   48  112   75  144  124  310  314  192  467
  257    0   29   99   19  158   77  379   21   96  312  567  281   79  395
   43  121    0  102   29  261   11  254   94   26  154  298  391  259  513
   81  184   20    0   53  104   65   66   22  122  253  369  211  664  891
  156  202   67   61    0  118  107  194  112  151  175  369  459  236  370
  235  122   15  118   24    0  100   56   23   71  326  569  335  436  236
  151  106   88   29   61  211    0  102   70  138  295  558  374  316  910
  197   58   50  134   89   52  103    0   61  117   46  455  758  636  411
  164  123   53  101   88  219  100  199    0   31  107  561  404  281  919
  115   39   86   27   25   54   29  128   65    0   68  143  687  340  753
  136  164   60   93   33  154   29  116   87  137    0  286  366  556  833
  206  151   40   18   73  108   61  194   39  175  348    0  497  178  212
  199  161   26   53   60  229   80  183  115  140   86  494    0  309  486
  260  103   64   57   19  152   75   51   98  104  307  370  427    0  104
   28  139   32   33   74  234  106  138   35  108  251  590  588  764    0
   
   
   0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
