0  197   22   57   48   47  169   85   59   44  112  551  194  502  315
  147    0   62   29   65   52  155   67   81   41  417  341  276  577 1110
  171  105    0   28   56   35   60   86   35   30  315   75   61  814  718
  143  168   80    0  130   84   36   55   87   61  124  605  361  824  787
   24  229   73   78    0   11  191   23   67   45  295  620  314 1005  163
   52   55   33   40   70    0   27  111   42   70  292  519  357  828  452
  164   69   38   18  109   47    0   79   96    9  359  129  214  273  928
  208  130   66   61  115   64  190    0   68   38  510  654  355  574  676
   87   37   50   64   85   49  226   57    0   43  440  224  144  960  467
  108  118   62   67   40   46  169   39   98    0  181  225  332  182  883
   35   70   59   55  135   13   69   70   86   70    0  112  345  967  534
   72  100   66   33  105   83   66  102   81   23  471    0  326  648  166
  149  105   33   72   55   14   87   23   54   49  369  554    0  612  751
  154  100   44   19  122   83  229   48  105   32  147  475  326    0  211
  217  120   19   16  148   50  130   82   48   60  276  566  274  130    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
