0   83  109  154   14   50   61   94   74  169  601  367  620  289  256
   76    0  115   68   60   29  132  163    8   38  789  192 1175  384  539
   19   96    0   48  103   38   71  150   13   52  669  479  243  115  396
   44   87  151    0  102   36  110   89   36  167  399  313  562  216  120
   48   69  145   38    0   53   99  159   58   65  720  451  661  440  136
   20  131   94  185  104    0  106   68   58  148  257  284  202  415  211
   81   96  148   82   18   19    0   31   79   53  386  371  231  247  487
   51  142   87   67   16   41  121    0   74  187  843  345  936  500  329
   15  155   40  129   76   45   51  160    0  206  697  256 1287  560  155
   31   38   25   64  108   88  147   48   87    0  286  231  655  124  551
   27   73   96   68   28   60   73   44   33  112    0  349  520  663  203
   30  150  113  116  101   73   51  129   57   38  235    0  866   82  295
   75  160  106  137   72   56   81  112   59  167  868  488    0  347  414
   40   69  146  176   61   94   79   78   75   37  170  307  146    0  174
   33  176  143   49   50   40  121   92   79   54  113  319 1114  587    0
   
   
   0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
