0  125   71   79   61  195   42   96  168  178  823  765  307  680  459
   67    0   24   17  184   72   11  110   39   74  199  578  117  703 1027
   20   46    0   88  104   49   19   26   43  140  396  235  236  489  228
   10  142   65    0   57   93    7  129   82   72  183  345  357  654  280
   43   29   51   85    0   29   17  190   97  235  284  111  211  348  970
   70   68   23   44   35    0   43  147  146  207  717  323   37  362  864
   24  163   54   34   70   73    0  185   96  109  336  133  318  390  911
   72   71   26   99   59   38    8    0  130  126  387  355  241   93  187
   38  101   71  106  126  213   37  202    0   50  530  152  342  417  277
   41   80   14   30  126  109   74   31   59    0  346  668  151  549  626
   48   27   50  103   99  166   76   42  162  131    0  380  311  335  840
   71  162   78   46   44  160   36  134   45  199  405    0  148  513  104
   32  167   90   53  137  219   58  145  168  183  259  492    0  391  378
   68  167   38   14  133  159   74  151  117  182  640  638  244    0  877
   26  107   82   27  128  162    9  153  123   78  632  602  212  347    0
   
   
   
   0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
