0  526  222  488 1139  224   17   78  192   78   64   12   35  131   62
  281    0  376  661  672  182   97   56  161   38   86   58   32  219  102
  155  241    0  105  370  136  136   79   35   78   69   64  156  207   68
  390  497   93    0  831  232   68   60  234   64   28   26   96  166   84
  489  239  472  567    0  197  151  245   89   91   19   12   97  200   85
  404   74  172  342  587    0   84   96  118   21   27   60  117   99  114
  309  226  222  642  277  213    0  158   72   92   21   29   23  203   88
  386  233   72  434  369   77   41    0   32   88   64   63  120   32   86
  688  587  338  416  155  132   76  123    0   38   71   60   80  210   38
  490  403  263  675  742  159   86  187  156    0   68   13   87   48   22
  387  257  277  412  280  202  131   95   52   81    0   50  137   35   46
  278  439  137  372  274  241   81  235   95   32   39    0  138  162   47
   96   93  106  278  670   61   74  341   39   47   35   27    0  216   93
  428  345  370  620  856  175   58  278  109  124   67   14   62    0   69
  293  266  154  650 1055  192  117  424  166   18   80   66   96  138    0
  
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
