0   17   75   22   71   43   29   74   86  186  627  565  165  524 1014
   55    0   50   52   90   20  109  105   55  151  411  307  187  131  593
   37   36    0   24   50   15  115  198   69  116  713  321  205  585  442
   44   30  125    0   42   17  149  143   46  173  455  500  227  451  807
   48   36   39   85    0   42  119  206   33   19  429  669  196  794  580
   50   35   78   77   58    0  179   79   11  144  464  641  101  403  811
   40   23   92   90   70   62    0   56   66  138  535   89  177  499 1121
   33    6   76   91   11   48  100    0   79  182 1228  400   53  612 1232
   61    8   15   33   26   43  122  179    0  174  837  519  136  759  250
   32   28   22   66   87   13  234  149   31    0  299  101  136  620  315
   30   37   80   35   60   57  127   83   81   29    0  162  219  257  156
   57   39  102   64   93   37  159   64   23  143  599    0   96  111  247
   38   37  110   63   24   42   48  198   43  113  815  468    0  144  570
   45   33  110   32   89   22  225   70   40  127  556  230  175    0  867
   28   36   61   70   65   21   75   61   76   45  721  772   30  369    0
   
   
   0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
