 0   25   74  187  415  143   15   69  110   49  510  315  498  299  344
   60    0   70   88   97   68  104  179  158   48  470  376  284  405  465
   27   88    0  141   65  214  121   76   25   18 1219  298  152  145  583
    7   69  105    0   52   84  101  202   49   46  305  487  266   97  581
   31   64   50   62    0  196  107   63  130   23 1164  460  670  397  180
   19  164  260  176  149    0   98  202   52   19  732  173  508  204  557
   57   43  105  144   82   52    0   40  128   28  234  253  413  131  194
   33   25  149  126  176   62   76    0  129   49  243  414  551  355  451
   11   48  254   49  229   48  122  136    0   12  185  144  304  253  158
   66   43  240   31  205  205  120  201   34    0  604 1008  591  118  128
    9  128  258  146  282  151   46  139  131   44    0  714  551  150  441
   45   91  129  132   72   51   46  115   74   61  127    0  624  223  237
   42   79  127   49  101   66   28  130   28   55  825  190    0  418  478
   45   65   29   89  225   53   90  217   66   32  660  180  168    0  503
   48   94  125  230   46  173   53  201   42   48  692  842   84  205    0
   
   
   0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
