0  804  599   65  130   72  215  108  212   98   52   63   79  278   54
  170    0  595  167  317   70   78   36  158   24   31  178   20  256   17
  393  236    0  502  597   32  243   82  171  169   26  176   48   49   74
  249  342  350    0  467   53  271   95  201   96   48  261   53   69  123
  108  544  496   62    0    8   44   30  206  133  100  227   60  106   28
  430 1196  323  323  230    0   31   54   33   94   65  262   37  309   22
  222  499  293  406  624   49    0   76  114  162  101   99   41  151   61
  360  314  342  272  508   41  235    0  161  121   54  111   33   39   22
  381  407  298  540  387   15  257   57    0   91   79   32   64  302   33
  376  759  299  424  620   35  173   44  165    0   39  250   95   67   85
  369  791  383  376  247   18  148   95  187  154    0  169   72  288   60
  359  780  249  206  421   43  116   47  111  122   12    0   43  248   78
   75  398  444   88  136   55  175   90  197  125   68  115    0   67   80
  434 1074  494  296  273   13  212   59   88  108   12  239   22    0  106
  407  293  459  236  109   67  156   38  168   27   73   76   19  156    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
