0  380  240  714  550  156  145   26   49   46   63   49   72   23   89
  253    0  192  671  483   75   37  185   47   43   38  132  116   47   41
  646  213    0  684  273  178   59   72   81   70  133   87   90   33  126
  616  476  602    0  433  163   61  158   68   36   21  156  154    7   40
  495  159  697  779    0  125   35  185   35   18   64  126   59   12   95
  329   86  788  796  384    0   86   66   59   53   54   57  245   50   56
  442  102  165  203  415   45    0   85   99   31   51  160   61   13   50
  857  359  369  441  533   40   27    0   43   67  117  124  138   19  102
 1086  106  404  387  128  130   38   33    0   41   50   57  224   50   61
  412  417  516  114  180   64  137  132  112    0   85  231   52    6  139
  828  426  217  328  495  123  136   31  106   60    0  101   44   47   77
  858  291  507  313  525  115   18   78   14   17   39    0  225   43  125
  212  202  224  220  147   41  130  156   60   43  104   80    0   31  127
 1047  468  445  699  562   52   81   24  104   38  109  226  109    0   38
  531  254  447  177  432   90  126   86   56   57   42  261   83   35    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
