0  669  367  378  189  252   60   11    9  166  159   43  102  104  211
  455    0   85   51  178  287   56   39   52  120  150   32  134  113  180
  180  209    0  368  302  292  210   92   71  232  110  189  171  158  204
  576  953  357    0  315   75   71   21   13  107  121  188  152  176   25
  193  879  528  163    0  109  256   84   65  199   77  170  117   74  120
  244  314  421  110  270    0   62   15   42   88  182   26  139  149  119
  689 1008   77  163  171   61    0  111   25   30   59   38   96   40   92
  551 1005  204  233  131   38  167    0   52   27  165  145   33  135  113
  423 1116  155  108  229  157  193  103    0  233   99   59  156  133  132
  635  701  261  226  128  272   95   53   63    0   74   75  160   26  191
  850  331  545  238  176  223  123  104   32  197    0  181  145   19  192
  457  893  586  141  104  115  185   70   17  234   70    0  112  138  121
  208  982  281   82  170  114   34   93   14  177   38  142    0  174   88
  266  768  408  147  306  252   33   19   65  168  175   83  176    0  218
  205  269  108  271  232   64  161   59   29  149   36   95  161   45    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
