0  154 1086  678  240   37   52  106  233   99   55   73   88   36   79
  801    0  915  150  396   62   39   47   66   51  113   84  161   62   69
  442  462    0  510   74   59   30   56   54  141  116   87  140   24   31
  451  104  857    0   97  107   16   80   26   24  117   79   41  155   70
  872  345 1060  652    0   82   39   37   71   44  161  144  136   68   30
  530  427  413  153  333    0   30   14   34   71  181  194   93   41   14
  841  117  402  844  159   43    0  115  196   18  216   79   67  180   77
  360  191  440  497  162  127   48    0  195   52   69   29  117   26   82
  502  324  674  501   84   22   53   96    0  132  138  117  103  196   80
  453  367  193  372  348   84   40  107  119    0  189   85  177  163   20
  438  166  560  471  159  167   29   76   51   94    0  108  112   65   11
  964  192  579  634  285  137   36   61  153  116  173    0   47  111   87
  213  454  477  346   95   39   22   17  238   36   65  115    0  141   20
  653  341  428  344  247   59   51   92  126   33   41  124  130    0   59
  331   64  468  495  373  105   15   94  142   75   98   54  108  137    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
