0  111  339  737  580  100  106  158   27  163   18   64  155  119   69
  339    0  430  509  209   39  109  111  116   78   26   68  156   52   31
  394  246    0  572  313   95   36  152   34   28   32  135  122   30   80
  377  354  338    0  610  116   70   29   82   42    6  122  106   41   18
  375  121  352  815    0   21   56   89   17  188   36  128  134  102   48
  363  294  448  636  357    0   29   45  126   60   29   55   95   62   24
  749  430  233  442  279  123    0   83   15   77   25  127   23   70   85
  657  447  393  718  235   36   44    0   51   38   47   45   52  110   73
  370  122  150  321  199  140   12   71    0   74   35   86  109   64   26
   83  130 1180  797  587  106   97  210  102    0   31  152  112   73   76
  644  334  964  126  407   37   95   42   23   89    0   94   68   81   70
  537  312  479  739  455  136  102   86  104  149   15    0   86   52   47
  425  280  742  617  412   68   72  148  123  117   24  105    0   19   18
   87  237  487  492  566   20   44   56  102  160   44   16  151    0   88
  478  429  842  859  363   56  101  151   99  150   40   35  146  113    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
