0  172  579  842  465   62   58   38  171   50   41   32  113   28  146
  303    0  286  270  775  177  124   30   63   15   37   46  108   61  146
  431  327    0  751  651  132  175   40  153   30   71   94  209   41  201
  218  100  524    0  796  141  186   12   33   52  289   47   95   78  150
  294  414  113  532    0   31  176   73   60   17   68   24  146   34  116
  168  497  192  300  293    0   90   68  135   37  103   67   98   48  132
  152  338  324  278  575   81    0   24   23   23  129   96   71   81  112
  109  190  170  211  764  207  155    0  102   11   65   48  191   18  151
  464  142  587  525  568  209   21   10    0   47  159   49  145   24   28
  214  338  360  702  810   40   63   89  113    0  262   75  162   33   45
  401   94  203  206  417  152  156    9   79   29    0   21  212   31  196
  318  339  342  751  117  166   36   36  119   52  206    0  193   41  165
  511  493  438  801  595   73   69   43  145   21  139   52    0   50  154
  352  359  271  648  959  177  180   73  224   24  119   45   36    0  148
  366  234  555  697  400   80   37   43  177   15  231  113   28   54    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
