0  117   93   56   42   37  416  281  826  454   82   70   90   26  137
  140    0  188   69   56  132  323  205  422  417  191   88   34   52  133
   31   52    0   21  160   49 1042  334  649  642  149   98   16   35  149
  124  130   91    0  182  200  807  123 1050  205  149   66   58   16   25
  125   20   51  172    0  151  650  612  143  461  147   26   99   64   38
  152  156  136   33   48    0  165  212  974  145  112   94   78   12   20
   55  109  137  117   66   33    0  494  318  683  144   90  122   41   89
  157  142  138  115  217  141  597    0  522  561  146  127   88   33  123
  141  158   52   18  197  115  164  453    0  190   78   62   52   80  127
  177  173   65   89  213   80  708  431  891    0  118  120   13  101   35
  154  136  101  156  132  191  996  540  428  190    0  128   50   26  152
   76   77   61   23   93   56 1228  414  382   94  139    0   23  105  108
   45  107   38  130  187   34  449  593  730  552  172   41    0   67   82
   59   47   31  164  130  218  158  528  278  102  136   77   60    0   96
  153   38  120  119   81   34  433  218  469  645   99  111   71   94    0
  
  
  0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
