 0  118   36  124   60   38  720  266  211  319  176   60   80  137   37
   58    0   95   64  147   27  887  448   59  270  170  195  217   22   91
  106  156    0  122   82   17  808 1000  258   90  185  129  103  139   24
  164   47   27    0   23   39  646  189  139  322  170  176  226   98   66
  278  107   34   52    0   26  287  321  155  307  211   31  175  130   89
   70  131   39  165   30    0  859  872   34  238  182   84   81   69   14
  216  108  241  198   72   18    0  531  253  376  159  140  257   54   18
  183  114  114  187  160   32  611    0  189  521  108   43  205   48   14
   54   33   96   93   61   36  792  208    0  402   86   90   57   51   16
   37  108  250  153  200   17  557 1129  182    0   57  188   33  169   35
  219   39  101  115   98   41  761  328  211  482    0   71  267  155   17
  218  181  159  154   87   32  690  988  243  403  104    0   38  102   26
  145   52  140  102  141   41 1007 1058   44  418  114  181    0  133   75
  165   67   93   59  121   33  604  391  215  340   59  125  174    0    9
   93  165  203   56   49   38  902 1088   87  159  246   66  105   82    0
   
   
   0	1	2	3	4
1	2	3	4	5
2	3	4	5	6
1	0	1	2	3
2	1	2	3	4
3	2	3	4	5
2	1	0	1	2
3	2	1	2	3
4	3	2	3	4
3	2	1	0	1
4	3	2	1	2
5	4	3	2	3
4	3	2	1	0
5	4	3	2	1
6	5	4	3	2
1	2	3	4	5
0	1	2	3	4
1	2	3	4	5
2	1	2	3	4
1	0	1	2	3
2	1	2	3	4
3	2	1	2	3
2	1	0	1	2
3	2	1	2	3
4	3	2	1	2
3	2	1	0	1
4	3	2	1	2
5	4	3	2	1
4	3	2	1	0
5	4	3	2	1
2	3	4	5	6
1	2	3	4	5
0	1	2	3	4
3	2	3	4	5
2	1	2	3	4
1	0	1	2	3
4	3	2	3	4
3	2	1	2	3
2	1	0	1	2
5	4	3	2	3
4	3	2	1	2
3	2	1	0	1
6	5	4	3	2
5	4	3	2	1
4	3	2	1	0
